nodes;degree;betweenness;closeness;pagerank
Fp1;0.05555555555555555;0.0;0.21951219512195122;0.03560307164763094
Fp2;0.05555555555555555;0.0;0.21951219512195122;0.03519307128067971
F3;0.16666666666666666;0.21568627450980393;0.27692307692307694;0.08409723290627828
F4;0.16666666666666666;0.21568627450980393;0.27692307692307694;0.08413242328110933
F7;0.05555555555555555;0.0;0.21951219512195122;0.03497280295397728
F8;0.05555555555555555;0.0;0.21951219512195122;0.03538792672280039
T3;0.05555555555555555;0.0;0.22784810126582278;0.034725298845278765
T4;0.05555555555555555;0.0;0.27692307692307694;0.03243643831281677
C3;0.1111111111111111;0.11111111111111112;0.2903225806451613;0.05456684204939875
C4;0.16666666666666666;0.5686274509803921;0.375;0.0746549445566178
T5;0.05555555555555555;0.0;0.1836734693877551;0.037028860486807466
T6;0.05555555555555555;0.0;0.2571428571428571;0.03354530155433279
P3;0.1111111111111111;0.11111111111111112;0.2222222222222222;0.060025725448019526
P4;0.2222222222222222;0.542483660130719;0.33962264150943394;0.10331019678580196
O1;0.05555555555555555;0.0;0.21176470588235294;0.031212568256064718
O2;0.1111111111111111;0.11111111111111112;0.2647058823529412;0.05572011831403971
Fz;0.16666666666666666;0.5294117647058824;0.34615384615384615;0.06213845424486163
Cz;0.16666666666666666;0.6209150326797386;0.3829787234042553;0.06365475392694674
Pz;0.1111111111111111;0.20915032679738563;0.2727272727272727;0.047593968426537125
